stop,lat,long
navrang talkies rajajinagara 2nd block opposite of dattatreya jewellary,12.9961,77.551
bashayam circle,13.0059,77.579
indian express,12.9842,77.599
kommagatta kommagatta in front of lake,12.9301,77.465
chowdeshwari bus stand jp park mathikere  choudeshwari bus stop in front of lok anand apartments,13.0332,77.554
manjunatha tent ramachandrapura beside sri balaji communication,13.0578,77.551
nettigere gate nettigere opposite of motors,12.7608,77.487
jai bhuvaneshwari nagara,13.0149,77.531
laggere arch laggere near sai baba temple,13.0018,77.525
dabbaguli cross dabbaguli opposite of water pump house,12.8796,77.316
east point college avalahalli opposite of east point college,13.0502,77.72
hennagra gate bommasandra in front of s.n.durai auto garage,12.806,77.699
kalathammanahalli kalathamanahalli beside anganawadi kendra,13.1039,77.517
manipal ramamurthi nagara in front of petra park,13.0117,77.671
byana palya  vajarahalli,12.8752,77.543
solusapura sarjapura  hobli opposite of govt. primay school & ashwatha katte,12.8301,77.757
kns college,13.0886,77.635
allalasandra gate yalahanka,13.0867,77.594
manchanayakanahalli manchanayakana halli beside om sai digital studio,12.8341,77.415
panathuru dinne panathuru at residential area,12.9299,77.712
gulaka malai gulakamale in front of grama panchayat office,12.7976,77.523
bylanjaneya temple railway gollahalli in front of bylanjaneya temple,13.1502,77.41
hosakote bus stand hosakote beside municipal office,13.0787,77.788
palya cross palya cross beside residential area,13.2087,77.501
jn of dasarahalli road buvaneswari nagara in front of annapurneswari bakery,13.0552,77.602
mico layout btm layout 1st stage,12.9167,77.603
raliway gate rpc layout vijayanagara 2nd stage slv condiments,12.9644,77.543
manganahalli,12.954,77.47
gerupalya gerupalya in front of micro labs india limited,12.8878,77.444
vinayaka talkies chamaraja pete in front of esi hospital,12.9625,77.565
babusab palya kalyana nagara in front of hotel little imperial,13.0225,77.648
bagaluru,13.1345,77.668
renuka nagar nelamangala in front of lakshmi venkateshwara bakery,13.1056,77.388
royan circle sirsi circle,12.9604,77.568
ngv gate,12.9493,77.62
malenallasandra,12.8068,77.605
prashanthanagar vijayanagara in front of shobha hospital nursing home,12.9756,77.531
nanjappa circle vidyaranyapura beside open area,13.0685,77.56
ideal homes stop raja rajeshwari nagara in front of druva creations  mobile plants,12.925,77.518
s k f factory nimbekaipura  huskuru in front of agra industry,13.0613,77.742
vasantanagara ambedker bhavan,12.993,77.595
tb stop nelamangla road,13.0973,77.401
gottigere high school himagiri,12.8622,77.59
dommasandra ,12.8795,77.754
widia school bagalagunte t.dasarahalli beside eshwari medicals,13.0511,77.508
devadiga soudha,12.9264,77.52
kodigehalli-doddaballapura doddaballapura in front of grama panchayath,13.3033,77.511
baguru baguru opposite of water tank,12.8968,77.842
shivanapura gate shivanapura colony beside open area,13.042,77.428
bgs hospital near abhiman studio opposite of b.g.s.arch,12.9071,77.499
javaregowdanagara cross raja rajeshwari nagara in front of jnanakshi complex  mathura shree trusts & travells,12.9299,77.521
corporation,12.9668,77.588
bhavani nagara 2nd stage,12.9558,77.487
chikkanayakana halli chikkanayakana halli in front of ashwatha katte & sri prasanna veeranjanaya swami temple,12.8929,77.695
mylapura gate mylapura in front of shreenidhi sagar,13.1076,77.874
ashrama bismilla nagara bannerghatta road,12.9263,77.601
sadahalli gate sadahalli beside state bank of mysore,13.1911,77.646
sapthagiri layout beside sri lakshmi venkateshwara provision stores,13.036,77.498
railway gate subramanya nagara opposite of devata general store,13.0042,77.561
hmt house jalahalli beside open area,13.0547,77.549
avalahalli j.p.nagara 9th phase  avalahalli in front of h.t.m.enterprises,12.8727,77.567
kuguru beside residential area,12.9104,77.81
hbr layout 5th block,13.0369,77.627
vajara halli vajarahalli opposite of anjaneya swamy temple,12.8232,77.391
kallegoudana palya kallegowdanapalya beside residential area,13.01,77.414
medanahalli,12.7892,77.399
are binnamangala arebinna mangala beside open area,13.1538,77.716
manu vana vijayanagara vijayanagara beside sub register office,12.9735,77.542
yediyur yediyuru beside open area,13.1309,77.696
ambedkar college kengunte  mallathahalli opposite of ambedkar college,12.9632,77.505
puttenahalli jp nagar,12.8957,77.582
sln city tavarekere beside open area,12.9518,77.386
dairy hegganahalli heggana halli in front of i.i.f.l.gold loan,13.0079,77.506
sri krishna traders,12.9435,77.562
dinnur dinnuru beside milk dairy,13.2527,77.802
andrahalli andarahalli beside ganesha temple,13.0078,77.485
suradenapura yelahanka road opposite of g.k. bakery & sweets,13.2045,77.559
doddabidarakallu doddabidra kallu beside vinayaka bakery & sweets,13.0359,77.494
elgin floor mill langford town shanthi nagara opposite of crops of military school,12.9582,77.606
betta kote betta kote opposite of venkateshwara temple,13.1992,77.739
dasappana palya beside pavan stores,13.0794,77.506
konasandra cross jigani,12.7657,77.634
ashrama ramohalli ramohalli in front of mythreyi gurukula ashrama,12.9064,77.429
basaveshwara nagara basaveshwaranagara beside bmtc main bus stop,12.9886,77.534
rajajinagara esi hospital rajajinagara opposite of esi hospital,12.9914,77.553
tulasipura,12.8449,77.558
kannamangala gate kannamangala in front of manjunatha provision store,13.1906,77.42
kothnuru kanakapura road j.p.nagara 8th phase in front of ganesha temple,12.8776,77.584
jyothi nivas college koramangala in front of bharat petrol bunk,12.9356,77.615
lakshmisagar gate lakshmisagara behind big compound,12.8229,77.411
muneshwara temple anjanapura opposite of chamundeshwari temple,12.8592,77.57
kaji hosahalli opposite of government milk dairy,13.0083,77.866
pettanahalli cross pettanahalli beside open area,13.0515,77.785
indiranagar police station indira nagara beside police station & k.f.c.,12.9782,77.64
abbigere dinne abbigere beside sri manjunatha medicals,13.0711,77.528
girigowdana doddi girigowda doddi opposite of government higher primary school,12.7454,77.523
donenahalli donenahalli near government school,12.8843,77.375
telecom layout telecom layout open area,13.068,77.617
colony mallapur,12.8664,77.629
jc nagara,13.0068,77.593
sirsi circle sirsi circle,12.9605,77.557
kattiganahalli opposite of masjid,13.0236,77.877
emc2 doddanekundi in front of total mall,12.9824,77.693
maruthi mandira vijayanagara beside matha air travels,12.9678,77.536
talaguppe thalakuppe near parvathi temple,12.8116,77.433
maniksha pardeground m.g.road beside parade ground,12.9773,77.608
military accounts office,12.9658,77.617
chikkannapalya yelachaguppe in front of water tank,12.9504,77.423
bandapura village anekal taluk opposite of milk product co-operative society,12.7701,77.727
hmt auditorium h.m.t. near h.m.t.auditorium,13.0493,77.545
t hosalli kannamangala palya open area,13.2294,77.67
sorahunase temple,12.9475,77.754
banaswadi dodda banasawadi in front of beauty corner,13.0143,77.651
jayaram das factory,12.9309,77.506
govt hospitals sonnenahalli beside open area,13.1936,77.502
yamalur,12.9473,77.681
gandhinagar patareddy palya in front of gokul garden,12.7968,77.502
gollarahalli n.g gollahalli beside residential area,13.0837,77.675
thotada guddadahalli thotadaguradahalli beside karthik stores,13.0681,77.489
hullala bar stop,12.9615,77.479
kaggalipura,12.8557,77.731
jigala cross attibele in front of mayura bakery & sweets,12.782,77.772
dalmia jp nagara jp nagara 3rd phase beside s.l.v.car world,12.9063,77.595
chikkamaranahalli chikkamaranahalli in front of anjaneya temple,13.0904,77.323
jagadeesha nagar,12.9715,77.666
channabyregowda circle,13.0717,77.787
gayatri layout,13.0136,77.71
kodagalahatti,13.1433,77.628
kugur cross beside open area,12.8996,77.809
kariyappanadoddi,12.7041,77.569
kaveri nagara kamala nagara near market,12.9996,77.531
huluvenahalli in front of milk dairy,12.9195,77.365
kengeri rwb gate kengeri in front of ksrtc regional work shop  kengeri,12.9043,77.476
naganayakanahalli naganayakana halli opposite of govt.higher primary school,12.7924,77.478
t b cross,12.9625,77.343
wimac junction abbigere beside lakshmi bar,13.0686,77.53
government soap factory rajajinagara 1st block beside orion mall,13.0131,77.554
devegowda petrol bunk banashankari 3rd stage beside co-operative training college,12.9219,77.559
manjunatha kalyana mantapa,12.875,77.537
beml gate b.e.m.l. layout 3rd stage in front of rajeshwari nagara  residents welfare association,12.9227,77.518
koli farm hesarugatta road hesaraghatta beside anjaneya temple,13.1718,77.503
rms seshadipuram beside karthik enterprises,12.9947,77.578
rt nagara post office,13.0207,77.593
thindlu sarjapura hobli  anekal taluk opposite of ration store & milk product co-operative society,12.8627,77.808
mylanahalli,13.184,77.696
bmtc depot-12 gate kengeri kengeri in front of imac india body build ltd,12.907,77.474
anjanapura anjanapura in front of shiva temple,12.8617,77.561
white field,12.9693,77.75
umara bhagh layout eliyas nagar,12.907,77.571
soundarya layout,13.0669,77.497
hennuru junction hennuru opposite of florence frorida group of institutions,13.0275,77.634
thittahalli thitahalli opposite of over head tank,12.8218,77.46
bgs college gate gangasandra beside open area,12.8474,77.468
vahale varadahalli varadahalli in front of water tank,12.8796,77.341
ramaiah college mathikere mathikere in front of ganesha darshini hotel,13.0288,77.562
billa kempanahalli billa kempanahalli in front of government primary school,12.8102,77.407
rm guttahalli palace guttahalli beside jatka stand,12.9983,77.582
kempanahalli,13.1101,77.557
marenahalli bande marenahalli in front of milk dairy,13.1198,77.68
bashayam nagara srirampura srirampura opposite of union bank atm,12.9871,77.568
mangammana palya mangammana palya opposite of muniyappa complex,12.9072,77.635
premium farm manduru in front of anjaneya temple,13.0792,77.737
robin talkies kengeri upanagara opposite of new priyanka bakery,12.916,77.48
byandana halli byandhalli beside government primary school,13.006,77.442
maragondanahalli,13.0376,77.692
kadirenahalli park banashankri 2nd stage kaveri nagara beside srinivasa steel & cement traders,12.9177,77.564
madivala mosque koramangala 2nd block in frount of ujwal fab india,12.9251,77.619
jadenahalli beside residential area,12.8396,77.396
kempaiahanapalya kempaiahana palya beside govt.higher primary school,12.7203,77.429
kodigehalli cross shanthi nagara in front of hoodi railway crossing,12.9961,77.719
mathikere mathikere beside dr.shyamprasad mukherjee flyover arch,13.0357,77.558
doddathaggali,13.0563,77.891
mallimakanapura,13.1273,77.848
banarahalli,12.9571,77.863
ganapathi nagar chikka banavara beside hotel sridevi,13.0789,77.497
mariyappana palya rajajianagara 2nd block beside uttam tea agencies,12.9987,77.556
bamboo bazaar,12.9918,77.602
tibetian college hejjala in front of dalailama education institutes,12.8502,77.424
anche palya,13.0549,77.481
yale kodigehalli ele kodige halli in front of m.v.enterpises,12.9773,77.464
kundala halli colony kundalahalli beside kundalahalli colony arch,12.9701,77.712
jalige in front of sri rama temple,13.2262,77.584
new horizon school indira nagara beside methodist church,12.9684,77.641
lingarajapura,13.0123,77.626
satellite club,12.9238,77.473
are binnamangala arebinna mangala beside govt primary school,13.1537,77.717
central sheshadri puram opposite to hotel green archid,12.99,77.572
byatha byatha beside water tank,13.1931,77.485
chikkana hosahalli in front of aladamara,13.2149,77.581
balagere panathuru post  varthuru hobli beside balagere milk product co-operative limited,12.9377,77.729
kurubara karenahalli bannikuppe in front of hanumantharaya temple,12.8546,77.384
jalahalli cross ayyappa temple jalahalli west opposite of new raghu hotel,13.0461,77.522
hmt layout rt nagara opposite of vijaya bank,13.025,77.594
sjes college,13.0239,77.716
vidyanagara devanahalli road vidya nagara opposite of jayaprakash narayana national youth center,13.1599,77.641
kyasaraguppe,12.8167,77.567
jelli crusher factory beside open area,13.0451,77.315
yennigere yennigere in front of post office,13.0945,77.3
gerahalli gerahalli beside residential area,13.0371,77.391
sowdamini kalyana mantapa bank colony in front of b.b.m.p. office,12.8839,77.567
keb chandapura opposite of l.d.b.future solution private limited,12.7969,77.707
vishwanathapura opposite of govt. school,13.2717,77.649
obalapura in front of nilagiri thopu,12.9602,77.825
vijayanagara ttmc subbanna garden opposite of vijayanagara t.t.m.c.,12.9644,77.534
jigala cross,12.7821,77.772
andrahalli andarahalli beside gandhi enterprises,13.0079,77.485
jai bharath nagara maruthi seva nagara in front of lakshmi venkatershwara iyengar bakery,13.0017,77.631
keb office agara beside swananda balaganapathy temple,12.844,77.494
tavare kere thavarekere opposite of mythri super market,12.9222,77.61
dairy circle yalahanka new town yelahanka new town beside dazzle super market,13.0992,77.577
government school,13.1038,77.577
konanakunte cross,12.89,77.564
binni mill cottonpet in front of ayyappa temple,12.9708,77.566
hunasooru opposite of anjaneya temple,13.1809,77.715
vyali kaval police station vyalikaval beside state bank of mysore,13.0021,77.579
btm water tank btm layout opposite of corporation bank,12.9165,77.607
parvathi nagar parvathi nagara in front of s.l.j.bangalore,13.0163,77.52
peenya 2nd stage peenya 2nd stage in front of jyothi electricals,13.0104,77.507
uttarahalli kr hospital utharahalli in front of i.c.i.c.i.bank,12.907,77.546
rachenahalli rachenahalli behind ashwatha katte,13.058,77.624
cauvery bhavana k.r. market opposite of bwssb,12.9721,77.582
yarappanahalli yerapanahalli beside c.k.s. real estate,13.0851,77.687
narayankere in front of govt.school,12.9441,77.858
manyatha tech park nagavara in front of ibm manyata embassy business park,13.0412,77.621
glass factory avalahalli opposite of glass factory,12.8764,77.567
betta halli palya bettahalli palya beside open area,13.1646,77.394
bisanahalli bisanahalli opposite of milk dairy,13.0089,77.813
hunnigere hunigere beside maramma temple,13.0329,77.396
dommasandra circle,12.883,77.753
gouthamagara,12.8923,77.729
bank colony  canara bank colony in front of mes convent,12.9648,77.524
nayanappanahalli,12.8803,77.613
mahal chowdadenahalli,12.8719,77.808
dattatreya temple,12.9344,77.566
pattanagere pattanagere beside iyengar bakery,12.9199,77.512
lakkasandra lakkasandra in front vignana hospital,12.9443,77.597
nagavara nagavara in front of anagha bakery,13.0381,77.623
ganesha temple hal 3rd stage opposite of ganesha temple,12.9721,77.654
sonne halli sonnenahalli beside water tank,13.1978,77.5
alisda jalahalli beside military gate,13.0378,77.542
malleshwaram 15th cross malleshwaram beside sai mandir,13.005,77.571
bhashyam circle,12.9844,77.554
annekarana halli athimgere in front of government primary school,12.8697,77.27
manchanabele manchana bele in front of s.l.u.traders,12.8669,77.335
maruthi mandira vijayanagara beside bunny bakery,12.9676,77.536
minakunte hosuru dodda jala opposite of railway track,13.1806,77.642
vinayaka nagara vinayaka nagara beside golden chicken center,13.0828,77.545
anjaneya temple pramodha layout opposite of anjaneya temple,12.9385,77.529
kodigehalli yelahanka road kodigehalli beside shanthala digital studio,13.0599,77.577
mysore lamps malleshwaram beside  mysore lamps factory,13.0144,77.56
kere guddadahalli kereguddadahalli beside sri ayyappa bakery,13.0795,77.516
cholanayakanahalli cholanayakana halli in front of primary school,12.9604,77.36
anugondana halli cross opposite of govt. general hospital,12.959,77.816
kengunte ambedkar college kengunte  mallathahalli beside ambedkar college,12.963,77.505
pinto bore tagachaguppe opposite of hotel amma,12.8708,77.45
bannigiri banigiri beside nisarga furniture works,12.7563,77.436
yeshwanthpur ttmc,13.0179,77.557
puradapalya opposite of aladamara,12.947,77.381
new guddadahalli,12.9558,77.546
kothnuru cross hari nagara in front of eapi group apartments,12.8782,77.567
coles park frazer town opposite of peekays super market,12.9959,77.607
ambedkar nagara ambedkarnagara,12.8991,77.713
narayanapura narayanapura beside lakshmi temple,12.7928,77.461
handrahalli ittharahalli in front of akkandeshwari temple,13.1235,77.744
kumbalgodu kumbalagudu in front of lakshmi venkateswara electronics,12.8799,77.446
surabhi layout yelahanka road yelahanka behind good shepherd church,13.0929,77.601
varanasi,13.0302,77.685
huskur sarjapura in front of sri maddoramma devi temple,12.8614,77.705
maruthi nagara in front of shivashakti refreshment  ,12.9235,77.615
neela sandra neelasandra beside bda complex,12.9577,77.614
jn of palace road,12.9979,77.585
devagere colony devagere colony near  government primary school,12.8535,77.458
puttena halli yelahanka opposite of byraveshwara temple,13.1098,77.58
huluvenahalli cross opposite of water tank,12.8892,77.184
subbarayappana palya cross gerupalya in front of faurecia private limited,12.8895,77.437
shetty halli  cross jalahalli beside state bank atm,13.0503,77.525
cipla beside kalyani motors,13.0322,77.731
yk hospital,12.7795,77.636
hesaraghatta hasaraghatta beside l.j.iyengar bakery & sweets,13.1379,77.479
bridge nagarabavi shakthi garden  kalyana nagara in front of mahalakshmi dental clinic,12.9692,77.518
kachohalli kachohalli beside ashwatha khatte,13.0002,77.471
channenahalli channena halli beside annapoorna traders,12.978,77.431
gowdana palya petrol bunk,12.9136,77.559
medahalli cross,12.9654,77.844
b k circle j.p.nagara 8th phase in front of universal granites,12.8707,77.583
telecom layout telecom layout beside park,13.0679,77.617
jn of suranjandas road hal 3rd stage in front of state bank of india,12.9667,77.661
doddakukkanahalli cross dodda kukkanahalli beside water tank,13.1754,77.441
gublala,12.8855,77.542
mailanahalli bagalur mylanahalli beside govt school,13.1856,77.697
mallapuara tavare kere mallapura beside provision store,13.0747,77.399
ittige factory beside residential area,13.0685,77.395
thindlu beside vinayaka temple,12.9905,77.865
srinivasa nagara banashankari 1st stage in front of bank of baroda,12.9381,77.556
sahakara nagar cauvery school,13.0622,77.587
water tank raggigudda jp nagara 3rd phase beside of b.w.s.s.b.,12.9138,77.595
iskcon temple,13.0116,77.551
karenahalli kadirenahalli in front of door no 122,12.7824,77.469
lavanya talkies beside popular automobiles,12.9859,77.615
maruthi nagara kannur road yelahanka beside srinivasa medicals,13.1045,77.605
kodihalli,12.9601,77.647
soladevana halli soladevanahalli in front of anjaneya temple,13.0068,77.351
kothnuru kanakapura road hari nagara opposite of eapi group appartments,12.8785,77.567
kohinoor ground gavipuram extention in front of d.naganna play ground,12.9473,77.566
sadashivanagara police station sadashiva nagara beside open area,13.0159,77.573
indiranagar police station indiranagara beside jealous-21,12.9785,77.641
lpg gas company ioc road in front of ioc lorry service,12.9896,77.83
hasigala hasigala beside anjaneya temple,13.1353,77.775
shanubhogana halli shanubhogana halli in front of govt.higher primary school,12.8266,77.561
domlur ttmc bus stand domluru  hal beside t.t.m.c.,12.9615,77.638
lakshmipura,12.8334,77.514
mvj medical hospital,13.0795,77.812
hmt layout cross beside om timbers,13.0336,77.504
veerasagara veerasagara beside jai maruthi provision store,13.1054,77.554
vidyaranyapura post office vidyaranyapura beside open area,13.0763,77.558
kawalu hosalli anekal taluk opposite of anganawadi center,12.7238,77.704
coffee board layout,13.0494,77.604
srinivasapura gate srinivasapura opposite of sri annapoorneshwari sweets & condiments,12.9041,77.513
devasthana nandini layout opposite of shanimahathma temple,13.021,77.529
chikkagubbi cross,13.0649,77.652
amma ashrama,12.9461,77.487
kalleshwari,12.7903,77.594
sai baba hospital whitefield opposite of sri sathya sai hospital,12.9837,77.728
ananda rao circle neharu nagara janatha dala(s) office,12.983,77.576
chikka sanne devanahalli in front of anjaneya temple,13.2302,77.691
deepak,13.0473,77.502
kattigenahalli gate opposite of masjid,13.0223,77.876
ramasandra cross kommagatta beside open area,12.9325,77.462
sriramapura cross srirampura in front of m.g.m.institute of rural industrial development,13.0666,77.61
vajramuneshwara gate talaguta pura opposite of anjaneya temple,12.8638,77.532
kumbalagunte cross kumbala gunte beside open area,13.2012,77.458
kethaganahalli kithiganahalli opposite of gramadevathe temple,12.8134,77.39
naganaikna kote in front of nilagiri thopu,12.9652,77.8
nagarbhavi circle nagarabhavi circle opposite of durga parameshwari hotel,12.9597,77.52
j srinivasa reddy layout srinivas reddy layout in front of banyan apartment,12.8648,77.563
jp nagara 1st phase shakambari nagara beside apollo pharmacy,12.9114,77.574
haridasa nagara,12.9185,77.527
depot 38 chikka nagamangala in front of b.m.t.c. depote-38,12.8491,77.693
m gopahalli m.gopalhalli in front of milk dairy,12.7285,77.403
muthugadahalli cross,12.7231,77.484
muthurayapura muthurayanpura in front of government primary school,12.7239,77.515
hosapalya beside open area,12.9504,77.357
chikkanahalli in front of maramma temple,12.8814,77.355
kumaraswamy layout 2nd stage kumaraswamy layout 2nd stage in front of kempegowda govt.higher primary school,12.9059,77.558
vijaya bank banneragatta circle,12.8156,77.583
yelahanka ( opposite of h.d.f.c.bank)  yelahanka,13.0997,77.598
shanthinagar ttmc,12.9541,77.593
thurahalli main road,12.9003,77.54
muttanalluru muttanallur,12.8317,77.737
kethohalli  kethohalli in front of government fair price depot,12.9073,77.404
banashankari 3rd stage 2rd phase banashankari 3rd stage dwaraka nagara opposite of ratnagiri public school,12.9343,77.539
kr puram railway station kr puram opposite of bridge,12.9999,77.676
frazer town frazer town in front of bata show room,13.001,77.613
haragadde open area,12.7645,77.654
kundalpura opposite of water tank,12.8952,77.415
arakere gate,12.8905,77.598
new bridge domluru beside embessy group,12.9512,77.64
hebbala bridge hebbala beside lake,13.0437,77.591
krishnarajendra market kr market opposite to chandra bhavan hotel,12.964,77.577
bar stop basveshwara nagara kamalanagara in front of govt fine price ration depot,12.9967,77.527
ittina neela apartment,12.8304,77.701
ganakkal in front of anjaneya temple,12.8521,77.357
kanaminaki colony kaniminike colony opposite of mobile tower,12.8583,77.429
beml gate kundalahalli opposite of hyper city,12.9611,77.716
ittige factory yalahanka belahalli beside sapthagiri medicals and general stores,13.1024,77.629
anchepalya nelamangla road,13.0553,77.48
moodalapalya modalapalya circle in front of mahadev trading company,12.9702,77.525
mariyappana palya mariyannapalya(dasarahalli) beside shalini provision store,13.0492,77.612
bhakthara halli cross bhaktharahalli opposite of residential area,13.0187,77.784
vijayapura vijayapura in front of post office,13.2947,77.802
nagayyanadoddi,12.7108,77.641
kamnahalli opposite of mini water tanks,12.9075,77.796
mayasandra mayasandra opposite of aralimara,12.8768,77.378
railway gollahalli arch railway gollahalli in front of police station,13.1482,77.412
hsr layout 2nd sector,12.9124,77.645
jambusavari dinne j.p.nagara 8th phase in front of adithya properties planets,12.8654,77.58
khazi sonnehalli kaji sonnenahalli in front of arali katte,13.0347,77.77
kakolu kakolu gate beside open area,13.184,77.519
school opposite of j.u.industrial training institute,12.8366,77.411
museum kasturba road,12.9739,77.596
bakery jalahalli beside krishna bakery,13.0426,77.55
devanagundi devanagondi in front of k.e.b.office,12.9738,77.839
dibbur cross dibbur gate beside amruta bakery,13.1726,77.53
bokipura,12.7374,77.472
ravugodlu  ravgodlu opposite of govt.higher primary school,12.748,77.5
kyalasanahalli,13.0563,77.659
shanabhoganahalli dibbur shanboganahalli beside residential area,13.1791,77.531
bidadi bidadi in front of government hospital,12.7966,77.385
chowdeshwari bus stand jp park mathikere  choudeshwari bus stop beside bmtc main bus stand  choudeshwari stop,13.0329,77.554
railway gate kodugonahalli police station,13.0252,77.62
iti layout dollars colony ags layout beside sagar cafe,13.0338,77.569
surya city chandapura post & anekal taluk opposite of b.m.t.c.department 32,12.7909,77.706
bommachannahalli bommachanahalli in front of anjaneya temple,12.8035,77.315
lingapura cross anekal taluk near g.v.s.college,12.7557,77.684
mekhri circle mekri circle,13.017,77.584
lalbhagh main gate doddamavalli beside durga bearings pvt.ltd.,12.9525,77.583
vidyanagara cross opposite of mariyamma temple,13.1619,77.627
puttenahalli yelhanka yelahanka in front of byraveswara temple,13.1098,77.58
nandini layout quarters,13.0124,77.537
veerasandra gate electronic city post in front of shankar infrastructure material limited,12.8397,77.677
geddala halli,13.0483,77.645
mukkodlu mukkodlu in front of kabalamma temple,12.7564,77.528
devegowda petrol bunk,12.9221,77.559
bank colony banashankri 1st stage,12.9385,77.553
bidaraguppa bidaraguppe attibele hobli opposite of govt.primary school,12.8062,77.784
jyotipura jyothi pura opposite of anjaneya temple,13.1026,77.744
thirumagondanahalli cross attibele hobli anekal taluku opposite of bagawan sri ramanamaharishi ashram,12.7941,77.722
modi hospital mahalakshmipuram in front of m.c.modi eye hospital,12.9975,77.546
aradeshanahalli in front of maligeswara agency,13.2225,77.565
indira nagar double road indira nagara opposite of hallmark & carpets & gifts,12.9783,77.637
amruthanandamayi college kasavanahalli opposite of amrita college,12.8956,77.675
makanahalli makanahalli beside govt.school left side,13.0102,77.828
lakshmisagar gate lakshmisagara opposite of maruthi cement block industries,12.8223,77.411
dodda londa dodda tanda in front of water tank,13.0302,77.349
byramangala cross bidadi in front of parvathi enterprises,12.8022,77.398
dasarahalli,12.7477,77.775
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,13.0075,77.527
kyalasanahalli hulimangala post & jigani hubli opposite of veena provision store,12.8031,77.651
bidadi bidadi in front of karnataka bank a.t.m,12.7939,77.381
weavers colony weavers colony in front of ganapathi temple,12.8445,77.583
jakkur jakkuru in front of b.b.m.p. office,13.0792,77.607
horamavu petrol bunk banasawadi beside udupi sagar hotel,13.0197,77.654
canara bank vidyaranyapura vidyaranyapura beside shiva bar & restaurant,13.0721,77.556
chinthala madiwala huskuru post near std booth & residential,12.8545,77.712
neelagiri thopu sunkada katte opposite of s.s.k.choultry,12.9959,77.503
attibele anekal taluku in front of sri raghava sagara hotel,12.7797,77.771
bashatta halli in front of govt.school,13.2619,77.553
pettanahalli cross pettanahalli opposite of raja flower farm,13.0515,77.785
huttanahalli cross uttanahalli opposite of nagashree enterprises,13.1654,77.65
lalbhagh main gate al-ameen college opposite of lalbhag main gate,12.9541,77.586
carmel convent high school chikkabellanduru village  carmelaram post opposite of carmel convent high school,12.9128,77.712
basavanapura  opposite of govt. milk dairy,13.2257,77.577
hesaraghatta t b cross t.b.cross beside sri male mahadeshwara concrete block,13.1304,77.484
government school tharahunise,13.1769,77.59
jn of adigondanahalli road,12.8016,77.752
v kallahalli sarjapura road valagere kallahalli beside manjunatha provision store  water tank  residential area,12.8824,77.776
avinasha petrol bunk vasantha nagara beside petrol bunk,12.9904,77.589
thammarasanahalli tammarasanahalli beside  sri rudramuni swamy temple,13.1257,77.497
bgs hospital near abhiman studio beside b.g.s.arch,12.9069,77.499
bolamaranahalli bolamaranahalli in front of govt. primary school,13.1594,77.398
hosa doddi gate hosadoddi in front of narayana gurukula,12.7644,77.487
mylanahalli cross,13.1279,77.398
kammasandra colony kammasandra  near lakshmi temple,13.0299,77.439
gulaganjanahalli gulaganjanahalli in front of maramma temple,12.9369,77.419
girigowdana doddi cross,12.7606,77.522
goravigere gate,13.044,77.763
old gabadi gabbadi beside open area,12.7139,77.482
ravindra nagara,13.05,77.516
ganagaluru hosakote taluk in front of navagraha temples  nanjundeshwara temple,12.9111,77.852
ganigara palya,12.876,77.533
marasandra bagalur marasandra beside petty shop,13.0997,77.715
sangam circle jayanagara 8th block beside raghavendra veg.,12.9178,77.578
ado sonnahatti,12.7777,77.716
gangenahalli/cbi bus stop,13.026,77.585
madanayakanahalli madanayakanahalli beside usha bakery and sweets,13.0606,77.461
itagalapura cross itkalpura gate beside maramma temple,13.17,77.55
central silk board btm layout madiwala opposite of central silk board,12.9171,77.622
goodshed road gate cottonpet beside balagangadharanatha swamyji free hostel school,12.9681,77.568
sarakki,12.9101,77.573
jn of ring road ilyas nagara beside r.r.diagnostic center,12.9075,77.571
anandanagar,13.033,77.591
sulikere palya,12.9439,77.449
yeshwanthpura circle yeshawanthapura opposite yeshawanthapura police station,13.0178,77.558
yarab nagara banashankri 2nd stage kaveri nagara beside brahmalingeshwara condiments,12.9161,77.569
hyadalu hyadalu in front of govt. primary school,13.1396,77.41
bidrahalli bidrahalli in front of milk dairy,13.0602,77.716
mico layout,12.9141,77.6
jyothi nagara 6th cross opposite of daily needs,12.9573,77.523
gollahalli k.gollahalli opposite of mandala panchayat office,12.843,77.452
mylanahalli cross mylanahalli beside open area,13.1271,77.398
karnataka state ware housing godown in front of kswc godown,12.9906,77.789
domlur dommaluru in front of aladamara,12.9676,77.872
glass factory avalahalli in front of glass factory,12.8763,77.567
savanadurga behind lakshminarasimha swamy temple,12.9156,77.297
betta halli layout dodda bettahalli layout beside open area,13.0922,77.559
sarjapura police station,12.861,77.784
kenchanapalya k gollahalli opp water tank,12.8447,77.444
geleyara balaga agb layout mahalakshmipuram beside guru krupa day care circle,13.0059,77.541
bank colony banashankari 1st stage in front of padmashree clinic,12.9388,77.552
railway gate subramanya nagara beside devata general store,13.0042,77.561
chennabyre gowda circle hosakote beside ayyappa temple (left side),13.0702,77.787
hoodi,12.9922,77.716
kempegowda garden abbigere beside sri  mahalakshmi temple,13.0772,77.522
madiwala police station,12.9201,77.621
harinagara cross,12.8789,77.567
beml beml in front of beml limited,12.9714,77.659
ypr rmc,13.0247,77.548
kadabagere  gate,12.9888,77.449
oxford dental college j.p.nagara 6th phase in front of oxford dental clinic,12.9025,77.583
